search_keyword;search_location;job_title;job_posting_link;company_name;short_description;location;posted_date;rating
Software Engineer;Dallas;Software Engineer (Product);https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNjNjv3lWbBIugprsPiGPkbM_A2kBWbVBXw4g14VEOdPpOyxIavCMd9til-GHuXNaK0DnlpD09XloHGSV6bQLtuWBi5R_lkwby8em_9XmXA_PzZ7YZ3xUDnEUt0w-1VX3ji-zl7fCZkGoHlUkZFQZQ4GnhJxexydLpuAK8ekXDrPaiDERxFSneZqGpbwtgErzeNCZLcYQB_kp-m3ny1MR5aFz1aFY5K-scuOsFFfOncjNTt7pC4zxahF0p1EW7vrtUODV7qtFIBOcI2DV8XY5PdX78wk4jVeOrv5oUhisoVIfyglKuQM45hdljtchivOCrFKper4GHOn3NV0lPoTeDxPpTn3HdaRMIS9bB7dfyDKB8ZO-jafAISt-7aYjgE2qAtKurwvFxDR8y6VVPu82XYGceXJArcRP4_QuhRpGeZvO6mefo4WQigfhADlxWWKSIunSwdGQ1TwVq2M8XTm0p8pyR6hpVxcs9i5n3s9edA1AqR8Us-GhRgfRRqkZgGhoMN5YiICBGYFBi4hQH0kTMpE3k5r9ZOtKGMy8swTLV0xwK6xlYuWi8K_UtRQ866DnR6brLIL1qDg==&xkcb=SoBI-_M3OyJr98AJrb0LbzkdCdPP&p=0&fvj=0&vjs=3;Topaz Labs;"
Your work will have a large immediate impact every week on real people who love our software.
This is a mission-critical role that will give you a masterclass…
";Dallas, TX+3 locations;Active 13 days ago;3.7
Software Engineer;Dallas;Software Developer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cg2EfBWPUJaBAt4LRBUQYdDsVwfvaJOUhcLQh7tRHeQboYtGBgNL1z02vLcsoEgL7QZR3AJnVbiNEaz5YhCuBwjoC7JmLZcdWQisPg9Q62ciHziLwGGlOe8mGe3SfbzujC79MrbyG1rmOfseiF51T7yeed8KkeYrcJO4sOESfEYQviW-UNk5-psb5U0Es7iHdXNftifuvihCK-O_ssiyLyhVDrV_lXvH_529PLB2TY55lyHriPfBGrYkplMhbG7UkDU6zutdcnISfJdSA9JZB1zPKVpNE2QL0kdIDVWW4fJ0Zh-Zao7KLx7zqfuluN1iUn8cxCuuGZBE8NAevCuyMrU9fjAwM5uYhJhLD7ZbMyBAEH8Rqbdx5IJZNP9iiAu101Np6HlTQu5QuwBwGNnRL0HgrUoZF7UURnXsaKuDv4x9J1PBR2xWROK4Q_F1MdCzEIllHkn5wqzTf5ykZcwmNEYKEYv9ocBN6-Ze4geSvI3IN7gFlB6HWadUbsHbO8CMAXy2ZMuQvrTkFR4DIflpmPTJPUpatwYN0PqsPHalCtyQ==&xkcb=SoD8-_M3OyJr98AJrb0KbzkdCdPP&p=1&fvj=0&vjs=3;Workforce Opportunity Services;"
3-5 years experience as a software developer.
3-5 years experience as a software developer.
Develop documentation for software solutions.
";Dallas, TX;Posted 30+ days ago;3.5
Software Engineer;Dallas;Python Engineer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4en9onN3YdMK-1panYAWlFBOTBI6SMlA2spSF9lIFttbI0TzsruIgqgFBXIRuFsQ-s0ISUpHr55E0Q1BzcDcx0zhXa8MNY71KaLFVaQz5jwFln82FnzTY_J4Owkr7b2K24suYreClH82ZY9_oxdZjXMhDLv_ZOhhzy-5PeVjcLtgmBWwofrD0OXTUuEBgT2IQNTQMwINUQjChNDegVAqdG6nuI9uorcYSlFbzU7S_HJhf59z3-kzHvJPozXc5tua5uTcqLsN4TZHbX9gTxvsl34BY2EbRlTwq-DGpztZefzt5A8C3sMIH8kcT48QlLDLvVFHx1OhB3V5xX4vZBarf-llWxFgantiocke2b1tgyBof0c3BHrrjHwRr69gO9KsWH0NS5UUy75qDDLZIaJOqDw6KOrgXLsRaz_GlB-7oHuzS1sHJreZNSmx03S7_Looybd8DJNXzPdRdqE7xWK6NHSMbOTZ9HFtFsOoGcjqBp01YEGGRFdnL_iKWvdDqwXqFgRvQsmnpEiV1mtapC8iHR288FXOgwsDmnQVGap-lJujtaSnQ25JNzBehwA4kqb-eTs8X0VYp-DGZzQ69HyoTHI7CtRsEijQ_3B62fBSgCTEQD8gnfFyy2wlaISD8KkRi2MUs-_2QjOdXhPYxfb-DvJyJhvaRtK3dJzpkAPuS3ZkdOMomg4ACkr5xzxke_AEMfoTbdakNjPeAnbvVsgmc6CSL8lfWUwHc8fI2jJqjwk3jNi0Ug257RZyM6PTb8rwIewxWXY4dw87fX_3u7gqI4ySBGtpqg5T1ye3Q044wvO-mx_eNuGWR-5dMeeCzbGwZS9s6L5xiJHSfqpRysp6lHnarH0cS4ylrNbfnJGa5qqEdQMF_CSrTI3KtkUmTYxQjx3cFD5dY0pvLC9V-ocxQA1gsmxrVCgJCUW7139xlHdpfCvkmoXnDY0pUGWngFGzYHHaICLyA1hy3kPCNJS3sfpaImR0YoY-mV1yfY4fl6t1ESEJyHG2h4JsVx7CgX7uSUgEsZsEsaAL8dHvUtoBWx4JGJM9qgEipYePLi5eOczOTKhJ_AezBAhM=&xkcb=SoBh-_M3OyJr98AJrb0JbzkdCdPP&p=2&fvj=0&vjs=3;CyberCoders;"
Ï Experience working with Django/Flask or similar python based web frameworks.
Work alongside engineers from Amazon, DirecTV and OpenX.
What You Will Be Doing.
";Remote in Dallas, TX 75226;Posted 2 days ago;3.9
Software Engineer;Dallas;Entry Level Software Engineer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Akpfp8SSZMfZN38QizqqtbOT4j-2RsCLW69coMAbJ8KQF2EXSVRl6k2GghO94q1blS7LtzcIBQK4QcocNJKIs-NcVFwV6IbNq5aOwM_DJdmIxsjrs8EY4J9nThmzDQ02eeEzxyS-ZrVodOrmVTueTS8k-R36Hgr1-kvD7AHb6VBeTyfEA7JwxfuG4rAoPYB9Ikv47DX9iXZUBuTz2RrtbqNztL_hgzjbXNQNF8__agVsnjLMOTBroMXKApIpww0pEcv-Lh76kbwUuLxazZIH4_YpbYK-fnDJApUhXR26rb2EDNw3hHlKd6vxbUXoS9e3QuGUpWFb4jCniTxw6RT28QfLckcN2C0sn53ACIeM-Qwssld027fEEnF-CH0BxhESoUZyNLaSv53g5TIgIgbdjxROqKdVStSrtgsadX0PaeEOuUFVwg7lI24NzIxUJQQMA-3YX1e8h9kUBjAAqkoLB7GSg1UUrGfzGlM_0fuEH_HhMfZzBPUNY24UYrjD0aSVnpuSM0rWx1cLsqX0EhiyaOI8c1-ALcLJdgANHG6-F6QiW4NK2KOORJg2-YTk15ProQvsR1fSWJKNmQ5lRzVlhEjQPECfePUX4mJEpdaiDliAkwEAiq8ZuN&xkcb=SoDV-_M3OyJr98AJrb0IbzkdCdPP&p=3&fvj=0&vjs=3;SkillStorm;"
Experience with software development using a modern OOP language (Java, C#, or similar) with a strong understanding in programming, data structures, algorithms,…
";Dallas, TX;Posted 30 days ago;3.6
Software Engineer;Dallas;Full Stack Engineer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ZqxdZg2TwcIemQ4yr89eGinLCR7bn2QHXosobzuZIJzRRdF9VlcNfICA4qUYmnW8zlL3ro-awTl-zMLTaCzQOju667SS1Syh9fFFJtFQ7weOBN5czGVug97Euck3uJIkI-BYxxLJgCG4DPvnUX_X6RVCT0RWgCTmGaJ51xwaoRMVGv7pfPE44go5vQjIm8WxkU0FO3ArAGoT7m04nICZraNqUHtHKa8YAkSEYUrHxJ66bJYCcI91whO40mGd3mQloF0JZQNyIG4qlK33DJokNGUgj7W0e2WqzwFip11oicdY-2w887v33A3ZaVoV3rJ0diqV-_UdqlNb-X0-EhzfHaGxZ0gmtcwTXcAHnIP0YcdolWI4EDpJ65slg4cf3UcksJKFdvNprQAJHgtZI7v1kgModSifq2tT2R90LmE0-nJkX8GvkoglJ-SJpJt9U6zqb7kM8KbpGaDvbeSeBcV_073LWAeIZcNK8I195Dxpot7OMYjnL_5fE3x0Nc5n9JHaUx4qC4v4_XqNtIRKiIMR&xkcb=SoBb-_M3OyJr98AJrb0PbzkdCdPP&p=4&fvj=1&vjs=3;Dante;"
Dive right in working alongside Dante teammates and client stakeholders to build robust scalable software in the cloud for our Enterprise private sector clients…
";Texas;Active 1 day ago;4.0
Software Engineer;Dallas;Jr. Software Developer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cg2EfBWPUJaBAt4LRBUQYdDsVwfvaJOUhcLQh7tRHeQboYtGBgNL1z02vLcsoEgL7QZR3AJnVbiNQXi6QViVV8SkVvo88s_f9YfCASa4xZllAJJQN-okfirMM86Trnih_m9ekv_GoTB0nliK3wuO4mFK4wXN62vlIt9EAbxorh1_17CcYbBHvhhWoadjnCdUHuehwwZrVHcK1d32LBaD2Z5ZRt28-lF3a9jdcmWK_onpTwYfEUEA2YCPbKUSEjz-6_jZ9A4NkT5V5wZHeatQ75NYfdENHnikBrbkJdpxu0tqVgjALF8C39G0lNBP3ICknkQnefmI8-ACt3IjSTH-zUrn1E8sT1jSiSpV-2dFU0cJ5JBUvNb7u2Ia6hOdzS2mG7eigvx7DBOa49CnFGwNohA4WduxsMFSLZHWIZTuufp30JOquHjbhqcfKP9fTYQpsMD6IZwEUTyWc5Dyzcpr7ddGRzccYTvsm_ajc2sgv-HWZWWUq2jrcWLVw4LTevVDtKUsliIa2w3njrIL9HBVRXP4P9_hzZX3bwg109dbEQrg==&xkcb=SoDv-_M3OyJr98AJrb0ObzkdCdPP&p=5&fvj=0&vjs=3;Workforce Opportunity Services;"
1-3 years experience as a software developer.
1-3 years experience as a software developer.
Develop documentation for software solutions.
";Dallas, TX;Posted 30+ days ago;3.5
Software Engineer;Dallas;Software Developer-Hybrid Schedule;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dl_DicKAZc4_y6zW7EVlXGizYKbHUUJD18j7IdweeznFYaNc6NqdaQywlSDWmTBdkCqNgrj3OeBF4surf8TY1w_UcAEb3enRtqYHsYtfHvN3iHXiilMxbTl91DSzZOVTrWChA7m0Lf98dpmCuN4W06GGYUeeGowwuUqtydoZFvuAIh_DsOfcH8yhygN7ekzhbr9BpK7FII7hX8ghQdXIPgZtLyp9cPV-2ByLiOM9ddrulTyOZEmq42Rwa22nmx7mzyCJ9w1Ml6o8qTqwiZHi6BvsZ-gbYbfE_SnLsdTALpwmiOntrRGfX-XRefa3e8tQHEdDHDkPww8YAx5SactYZsmcrTTWNSNBfQmKPo4vrOp6c2VVKmX86h3vgDQbWKJb2S1z3gwZSUaS9vXH258-ZIF_4H3T4u2JDOAT_Sj9YJYRfkXbM0KVqA3CY5fmqaIj4WGTNkwzFnn1Ki9oCwetWnPu4BVRFONlIpKL394cdGWJytFMCw0bXVB9rrHTVPhBMwQwP0hzy4XIUmOOCy9vEDUvuUsDfqBYzSoeaxJcLhnIQcsLERO8KB1gpEBVnzDJmmLgeMe772h8VIY8a9wi0UR6gWWzAmp0KqTYf7iFj1UNGLlu8t9Ya4yWS3V7O5HDI=&xkcb=SoBy-_M3OyJr98AJrb0NbzkdCdPP&p=6&fvj=0&vjs=3;Tentamus;"
Advising colleagues in the laboratory as well as support for technical problems with hardware and software - in cooperation with IT department.
";Hybrid remote in Dallas, TX;Today;4.2
Software Engineer;Dallas;.NET Software Engineer – Global Sports Company – Irving;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aj4-Lc4C6Hb0ykU3jOktLDIAAw4anZygn__rtZFvHgNcv4O2zQkS2Bt1ftWSpmlDmaxQbIRx50epxN2A8SKikAuCoLSwsZ0WuzTxPWt0fIaWd91ZbvSSD5QCFVdlkNTHf9XECleEceqWz8_QKi5586nhj9tcXfdMbN6J612OygjDR1rmhH4pg3zU8JU7c2txTM4La8OmYajf-fubXJIs30x5PT9_Kwmm05obX7guHANM68uX8f1vqj7inc1d0B-LSMRgdCayCnh_LMv07jWq_DlgwXD7K3Fx-aA9TFQ-kZSxAKK8GH1Dusne2Q6xjA_TZltI0natKBGmF7GOBkKtbL3luXk8fxKf14a_UUcUIgmYdEZm-WvKLDqcVypiwsRVNieh8Vu2xL3DD_j4fNUFVCaXMbiAt6vnFbjQ2e4HBULanEl3JFUDkYsmcqDyY7BF1gh5k63abwRhAfjbgueulVXXt5V4thEBvGALl7saV71rcek4fQVbhl48xKnIeUESi4sJIyJjkbF0RLhfnofFsgIVg9Q9gdHSNFe1TJPo8jIzeWuVZBYUHCJT7Rsn7jsnOLwxfQlQcKMx2lU7Q5LZCg&xkcb=SoDG-_M3OyJr98AJrb0MbzkdCdPP&p=7&fvj=0&vjs=3;Noir Consulting;"
NET Software Engineer that can hit the ground running and be instrumental in the creation of stylish and innovative new web applications and data analytics…
";Irving, TX+5 locations;Posted 3 days ago;
Software Engineer;Dallas;Identity and Access Management (IAM) Engineer;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CO3MYlVZAetsW1dllW6xvqY2QmsKHkdIi-K6v359EG70R3lRAEwZLjqvpQ2dxLLI0ypUqM9O2N9lvyeNZM-wmJWb5-2RtQjWMXTjxryRKUbU4TA64ojGR_EydAQDvRcL8xOP5anxMcEuPwYMANTLzEr2Cp2NgbEXHfnB_WRCqKUGWVLXB1tQHx3mAcPiRMqv3sggW-lM5efhfVstv4Viv3CWmm1bqwvPpUruEKbhfnFojH696NmWUfbq6ZiyJWJh7ae05KSCEib2b6TSTcHkghhNxbuAwaPYctfd7AcI-CYjTxGP1MzOhI5d_qruf-sAPRoKmE2mL-VmUuSRZ-ZMTVu-SPasRrqUhkqMlNhmrH8x17A7RQrJ5ncXqvjo5lPguM0ii4sGPSiSUP6wg6bRPvpbw-kUMgB2fdL8-Z62dW-DpUeptTRessH1pXJhzxtUeE0Y7RcYIMM23ROBvDB1q2eS4vMBQDcUsSRKSSpAEpdkBARi4pGHTdY2K-WxE9ZODcur6dNYER7ZItwXQ3zNlUZPJgmryr1hRudlA0ECPsh7wQ2LCo_Y0akLoBrsNV-3VIpXM3p5MB_DRFRQ0f8uzXM9AG9KLgpyJwO9VrrN6NS4OIR9XXPO06Jk70gsPDtSOnWWki1lESbw==&xkcb=SoAv-_M3OyJr98AJrb0DbzkdCdPP&p=8&fvj=0&vjs=3;SCP Health;"
You will work closely with our development, operations, and security teams to ensure that our IAM systems meet business requirements and comply with regulatory…
";Dallas, TX 75398 (Eagle Ford area);Posted 22 days ago;3.3
Software Engineer;Dallas;Business Analyst, Software Development;https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAezr-5Y981Z1DAlqNgxc_oBTCqSWb7n6OEBzxh4A7sPh-CLlnZzFBaV3fUbZMwQAh6T5vzu4TR2RtSLCGD6YnqjFVIJvR6J_0hdC5dwQJhbUhojM4NLir8ancFFIO7EU8WvDU9cKhlBCdyh00CcyKKycjh7J0udG2-Y0RE3oMBzGm9pT8X-QIwF9UnaaWSwvinvB3Pv9DXCicMI8Cr7rbc72uf-9Gm59GSIHeDlrHCoLXnf-sKgYPtdKZ2v5ASrqc112cEk0RDaJiAWSKInBaHkcKdI_62RoGrh4_BD0_7gyigFKixhYc6rRS1hhGroEZUG2w1OnJQEt3CiaPCTuaYPjZ5V0Lh9uouuW8VyDj8FSbyPXFtaD3oAc6vlxmf6uG3Zfi5SGIQaNnhEvMQRiZgpS1Na1aV3bX_9UNw7gumvHymycwd_43fS6FgFPie5DZ1XGP2uigpsHGZN0AZd5qR3MB6O05yI1S0WtISBurlm2J_APvJweFtfW_tr59_-UDKK8Vuc-eTDQWUH5FPASLAR6YAym8cbaNzF5RV4nFWnRKmHIl-VgeAM0HLELoRmpgmV04GXN7gXc7TVy6zmY8&xkcb=SoCb-_M3OyJr98AJrb0CbzkdCdPP&p=9&fvj=1&vjs=3;Emergent Software;"
Familiarity with software development tools and technologies is a plus.
_* This is a 6-month contract-to-hire position for one of our clients.
";Dallas, TX;Posted 1 day ago;4.8
